部位,ICD-10,性別,診断年,粗率,0-4歳,5-9歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85歳以上
全部位,C00-C96,男女計,1996,384.2 ,16.0 ,7.7 ,8.2 ,9.2 ,15.0 ,22.4 ,43.9 ,81.4 ,140.4 ,257.9 ,335.6 ,512.0 ,797.8 ,1150.3 ,1504.8 ,1676.6 ,2061.7 ,2304.0 
全部位,C00-C96,男女計,1997,391.8 ,15.3 ,8.1 ,7.7 ,8.8 ,14.8 ,22.2 ,42.9 ,81.4 ,139.6 ,257.6 ,326.3 ,514.4 ,782.6 ,1143.7 ,1521.5 ,1642.9 ,2040.7 ,2330.7 
全部位,C00-C96,男女計,1998,402.7 ,13.3 ,7.6 ,8.1 ,9.2 ,14.0 ,22.6 ,42.6 ,80.5 ,140.3 ,247.3 ,331.5 ,523.9 ,778.9 ,1142.6 ,1534.8 ,1668.5 ,2045.5 ,2334.5 
全部位,C00-C96,男女計,1999,412.1 ,13.5 ,6.9 ,7.7 ,9.6 ,14.7 ,23.1 ,42.4 ,81.8 ,140.8 ,238.1 ,340.7 ,528.3 ,761.1 ,1125.3 ,1535.0 ,1727.0 ,2033.4 ,2346.9 
全部位,C00-C96,男女計,2000,419.3 ,13.9 ,6.3 ,7.6 ,9.9 ,13.7 ,22.4 ,44.4 ,80.2 ,142.0 ,233.1 ,351.5 ,514.4 ,752.4 ,1102.1 ,1504.3 ,1761.6 ,2005.8 ,2314.9 
全部位,C00-C96,男女計,2001,440.5 ,14.8 ,6.3 ,6.8 ,8.8 ,14.2 ,23.6 ,46.6 ,81.3 ,144.5 ,241.3 ,396.2 ,519.7 ,782.4 ,1139.7 ,1576.7 ,1884.5 ,1854.0 ,2142.2 
全部位,C00-C96,男女計,2002,447.8 ,12.2 ,5.6 ,6.3 ,8.8 ,14.0 ,22.9 ,47.7 ,81.9 ,145.6 ,243.1 ,365.3 ,540.2 ,768.7 ,1090.1 ,1524.9 ,1799.3 ,2005.4 ,2326.8 
全部位,C00-C96,男女計,2003,485.8 ,13.8 ,8.5 ,6.4 ,10.3 ,16.1 ,25.5 ,50.8 ,87.7 ,152.7 ,250.8 ,372.7 ,556.0 ,811.6 ,1139.6 ,1632.2 ,1960.1 ,2155.1 ,2463.4 
全部位,C00-C96,男女計,2004,488.1 ,11.5 ,5.4 ,6.5 ,9.2 ,13.2 ,29.4 ,49.9 ,96.0 ,156.6 ,264.6 ,396.2 ,566.8 ,802.0 ,1148.4 ,1575.9 ,1894.1 ,1993.0 ,2311.0 
全部位,C00-C96,男女計,2005,506.2 ,11.8 ,7.2 ,7.9 ,9.2 ,17.5 ,27.4 ,48.4 ,87.9 ,163.9 ,258.8 ,388.2 ,570.4 ,851.4 ,1175.8 ,1587.8 ,1940.8 ,2045.0 ,2232.4 
全部位,C00-C96,男女計,2006,520.0 ,9.5 ,5.8 ,6.8 ,9.1 ,19.8 ,30.9 ,52.1 ,90.1 ,167.8 ,270.2 ,387.3 ,584.4 ,853.8 ,1147.1 ,1592.9 ,1923.1 ,2049.3 ,2281.7 
全部位,C00-C96,男女計,2007,551.1 ,13.7 ,7.3 ,9.0 ,12.2 ,16.6 ,28.2 ,54.2 ,99.2 ,168.2 ,278.6 ,408.0 ,608.9 ,872.6 ,1195.2 ,1635.9 ,1986.8 ,2151.5 ,2366.5 
全部位,C00-C96,男女計,2008,587.2 ,14.3 ,8.3 ,8.7 ,13.6 ,17.8 ,31.4 ,60.7 ,104.0 ,175.0 ,287.0 ,418.1 ,649.9 ,892.7 ,1238.9 ,1695.0 ,2077.7 ,2310.7 ,2446.8 
全部位,C00-C96,男女計,2009,608.3 ,14.7 ,8.2 ,9.8 ,11.4 ,20.6 ,34.3 ,64.4 ,102.2 ,177.1 ,292.5 ,429.1 ,639.4 ,920.1 ,1269.5 ,1712.6 ,2107.8 ,2327.5 ,2496.2 
全部位,C00-C96,男女計,2010,628.8 ,14.0 ,7.9 ,8.7 ,12.2 ,23.4 ,35.1 ,63.5 ,107.3 ,186.0 ,301.0 ,427.4 ,654.6 ,949.4 ,1322.6 ,1746.8 ,2143.2 ,2389.0 ,2547.6 
全部位,C00-C96,男女計,2011,666.3 ,17.0 ,9.3 ,8.2 ,13.8 ,22.2 ,39.0 ,67.3 ,110.0 ,196.8 ,315.7 ,446.4 ,685.1 ,1010.1 ,1398.2 ,1800.8 ,2192.6 ,2434.2 ,2533.0 
全部位,C00-C96,男,1975,201.1 ,14.6 ,8.3 ,8.1 ,10.4 ,11.7 ,20.0 ,33.6 ,56.7 ,103.4 ,202.8 ,319.1 ,511.5 ,805.0 ,1150.2 ,1595.3 ,1844.7 ,1959.6 ,1625.0 
全部位,C00-C96,男,1976,202.9 ,14.4 ,8.2 ,7.0 ,10.9 ,9.8 ,20.9 ,31.0 ,56.2 ,100.2 ,202.7 ,310.2 ,496.0 ,791.6 ,1164.7 ,1571.9 ,1883.8 ,2001.8 ,1610.7 
全部位,C00-C96,男,1977,209.7 ,14.9 ,8.7 ,6.0 ,12.4 ,9.0 ,23.2 ,30.0 ,58.5 ,106.5 ,207.8 ,318.5 ,477.3 ,816.5 ,1199.2 ,1516.4 ,1878.7 ,2071.3 ,1722.5 
全部位,C00-C96,男,1978,213.8 ,14.1 ,7.6 ,5.7 ,11.4 ,7.4 ,21.0 ,31.0 ,59.1 ,108.6 ,209.5 ,341.1 ,467.6 ,796.2 ,1187.3 ,1545.8 ,1904.1 ,1938.7 ,1744.6 
全部位,C00-C96,男,1979,228.6 ,14.1 ,6.8 ,5.7 ,10.6 ,8.0 ,20.4 ,35.0 ,63.5 ,108.1 ,214.9 ,371.0 ,518.5 ,845.9 ,1209.0 ,1613.6 ,1955.4 ,2043.4 ,1864.8 
全部位,C00-C96,男,1980,238.4 ,15.2 ,7.3 ,7.5 ,10.0 ,9.2 ,18.0 ,34.1 ,61.0 ,102.3 ,208.4 ,369.3 ,554.5 ,841.3 ,1232.5 ,1709.9 ,2027.4 ,2157.7 ,1949.9 
全部位,C00-C96,男,1981,250.2 ,13.7 ,9.1 ,7.8 ,9.3 ,9.1 ,18.1 ,34.5 ,56.6 ,102.6 ,212.8 ,371.7 ,589.8 ,863.5 ,1272.7 ,1739.6 ,2085.6 ,2283.6 ,1951.9 
全部位,C00-C96,男,1982,258.6 ,12.5 ,9.5 ,7.7 ,8.0 ,10.2 ,18.8 ,33.6 ,53.1 ,107.3 ,211.5 ,383.0 ,604.9 ,846.5 ,1279.5 ,1735.2 ,2086.4 ,2405.3 ,2124.9 
全部位,C00-C96,男,1983,275.0 ,10.8 ,9.9 ,7.8 ,8.7 ,11.7 ,18.3 ,36.2 ,53.5 ,113.3 ,215.5 ,405.0 ,634.5 ,891.5 ,1309.4 ,1787.5 ,2167.2 ,2478.0 ,2296.3 
全部位,C00-C96,男,1984,289.2 ,11.8 ,8.2 ,8.4 ,9.4 ,12.7 ,20.2 ,37.0 ,58.5 ,117.5 ,207.2 ,411.7 ,659.2 ,921.8 ,1324.3 ,1811.5 ,2261.0 ,2586.8 ,2538.0 
全部位,C00-C96,男,1985,312.3 ,17.6 ,8.6 ,8.9 ,12.2 ,11.9 ,21.0 ,35.8 ,68.7 ,111.2 ,203.3 ,411.9 ,695.3 ,992.9 ,1374.9 ,1962.9 ,2422.6 ,2699.3 ,2687.8 
全部位,C00-C96,男,1986,321.4 ,17.5 ,7.4 ,9.5 ,11.0 ,11.5 ,20.8 ,36.4 ,69.1 ,107.7 ,199.9 ,408.4 ,704.0 ,1025.6 ,1378.6 ,1946.8 ,2447.0 ,2645.2 ,2756.0 
全部位,C00-C96,男,1987,334.6 ,17.6 ,8.4 ,9.3 ,9.2 ,11.6 ,19.1 ,34.4 ,69.7 ,107.4 ,199.6 ,403.1 ,728.7 ,1060.5 ,1375.7 ,1979.4 ,2457.7 ,2662.8 ,2916.6 
全部位,C00-C96,男,1988,344.7 ,17.2 ,7.5 ,8.1 ,9.0 ,12.5 ,18.9 ,37.4 ,67.8 ,109.2 ,205.5 ,401.1 ,724.7 ,1085.2 ,1379.0 ,1949.7 ,2451.7 ,2737.4 ,2961.0 
全部位,C00-C96,男,1989,355.9 ,16.0 ,8.1 ,7.5 ,9.5 ,13.0 ,16.3 ,34.0 ,68.5 ,115.0 ,210.1 ,385.6 ,703.5 ,1086.3 ,1442.7 ,1953.0 ,2460.8 ,2817.4 ,3115.8 
全部位,C00-C96,男,1990,378.1 ,17.3 ,9.0 ,7.5 ,10.1 ,12.3 ,19.7 ,37.1 ,70.6 ,126.9 ,216.0 ,391.9 ,721.0 ,1132.1 ,1558.7 ,1998.2 ,2513.0 ,2880.2 ,2988.5 
全部位,C00-C96,男,1991,393.5 ,16.7 ,9.8 ,7.2 ,11.3 ,13.4 ,18.0 ,34.5 ,68.0 ,134.4 ,208.2 ,383.0 ,719.6 ,1162.3 ,1600.2 ,2007.5 ,2555.4 ,2914.9 ,2955.5 
全部位,C00-C96,男,1992,412.7 ,15.4 ,9.8 ,7.1 ,11.8 ,14.0 ,20.1 ,35.6 ,64.3 ,137.0 ,203.5 ,392.8 ,728.2 ,1191.0 ,1647.4 ,2034.5 ,2637.8 ,2972.8 ,3041.6 
全部位,C00-C96,男,1993,419.8 ,13.8 ,9.0 ,7.5 ,12.4 ,13.1 ,20.3 ,33.6 ,62.6 ,129.0 ,198.7 ,381.4 ,711.6 ,1168.4 ,1650.3 ,2034.4 ,2635.6 ,3003.6 ,3082.3 
全部位,C00-C96,男,1994,426.2 ,14.8 ,8.5 ,8.1 ,11.3 ,12.5 ,20.1 ,34.5 ,62.7 ,120.6 ,201.1 ,384.0 ,674.7 ,1127.9 ,1645.6 ,2053.0 ,2618.0 ,3026.3 ,3113.7 
全部位,C00-C96,男,1995,448.0 ,18.1 ,9.0 ,9.0 ,10.3 ,15.7 ,19.9 ,31.2 ,59.6 ,109.9 ,216.1 ,376.6 ,639.4 ,1104.4 ,1680.6 ,2210.9 ,2669.6 ,3224.3 ,3613.5 
全部位,C00-C96,男,1996,458.1 ,17.6 ,9.1 ,8.7 ,10.5 ,15.3 ,17.0 ,29.4 ,57.1 ,105.3 ,225.1 ,356.3 ,628.7 ,1090.1 ,1654.7 ,2271.7 ,2585.6 ,3235.7 ,3659.0 
全部位,C00-C96,男,1997,465.7 ,16.7 ,9.8 ,8.3 ,10.3 ,15.2 ,17.2 ,28.7 ,55.6 ,105.9 ,222.1 ,341.3 ,620.3 ,1055.9 ,1637.8 ,2287.4 ,2517.3 ,3208.7 ,3680.0 
全部位,C00-C96,男,1998,479.6 ,15.1 ,9.5 ,8.9 ,10.7 ,14.5 ,17.8 ,29.1 ,54.8 ,108.2 ,208.7 ,340.9 ,630.9 ,1035.7 ,1636.4 ,2304.2 ,2571.0 ,3227.3 ,3714.7 
全部位,C00-C96,男,1999,489.0 ,15.5 ,8.4 ,8.9 ,10.8 ,14.5 ,20.1 ,29.6 ,53.2 ,106.3 ,198.9 ,352.3 ,632.2 ,988.0 ,1595.6 ,2292.0 ,2674.4 ,3208.8 ,3706.4 
全部位,C00-C96,男,2000,499.3 ,15.8 ,7.5 ,8.6 ,11.2 ,12.1 ,18.5 ,30.6 ,51.3 ,104.2 ,192.2 ,361.9 ,622.2 ,979.6 ,1547.7 ,2228.2 ,2743.8 ,3146.5 ,3667.8 
全部位,C00-C96,男,2001,522.5 ,16.1 ,7.3 ,7.1 ,8.9 ,11.7 ,18.6 ,31.0 ,50.5 ,101.2 ,198.6 ,403.3 ,616.4 ,1008.6 ,1580.3 ,2320.7 ,2906.8 ,2891.2 ,3323.9 
全部位,C00-C96,男,2002,535.0 ,13.2 ,6.4 ,5.8 ,8.5 ,11.8 ,17.2 ,29.3 ,49.7 ,97.5 ,194.6 ,364.3 ,637.3 ,1010.6 ,1525.5 ,2266.2 ,2776.5 ,3207.1 ,3702.8 
全部位,C00-C96,男,2003,584.3 ,13.5 ,9.5 ,6.1 ,11.3 ,16.2 ,22.0 ,30.6 ,54.2 ,106.6 ,194.5 ,369.3 ,642.4 ,1070.3 ,1603.0 ,2436.2 ,3025.5 ,3485.8 ,3911.1 
全部位,C00-C96,男,2004,581.3 ,13.2 ,5.6 ,6.8 ,7.8 ,13.3 ,23.7 ,33.8 ,55.9 ,94.4 ,202.7 ,383.6 ,648.8 ,1032.7 ,1601.6 ,2326.8 ,2907.5 ,3190.5 ,3643.6 
全部位,C00-C96,男,2005,608.6 ,14.4 ,8.1 ,8.6 ,9.5 ,18.5 ,21.3 ,32.0 ,57.7 ,108.8 ,186.7 ,384.4 ,647.8 ,1098.2 ,1643.7 ,2344.5 ,2980.7 ,3221.9 ,3612.9 
全部位,C00-C96,男,2006,623.3 ,11.0 ,5.9 ,7.5 ,7.6 ,18.2 ,20.1 ,32.6 ,57.7 ,107.6 ,201.2 ,364.5 ,676.2 ,1110.7 ,1598.1 ,2312.2 ,2942.3 ,3249.0 ,3634.6 
全部位,C00-C96,男,2007,659.1 ,13.3 ,8.1 ,8.8 ,12.8 ,13.6 ,22.3 ,34.9 ,58.6 ,97.3 ,204.3 ,385.1 ,685.2 ,1115.4 ,1665.3 ,2376.2 ,3027.8 ,3374.0 ,3821.7 
全部位,C00-C96,男,2008,703.3 ,15.2 ,7.8 ,9.0 ,14.1 ,15.5 ,23.9 ,36.8 ,63.9 ,104.7 ,203.8 ,385.1 ,745.3 ,1136.3 ,1708.7 ,2463.5 ,3166.7 ,3589.8 ,3946.9 
全部位,C00-C96,男,2009,727.9 ,14.9 ,8.5 ,10.5 ,11.9 ,20.4 ,25.4 ,39.6 ,60.7 ,101.5 ,202.3 ,393.6 ,709.1 ,1156.4 ,1753.8 ,2481.5 ,3203.8 ,3635.9 ,4042.3 
全部位,C00-C96,男,2010,750.9 ,14.7 ,8.0 ,9.6 ,12.8 ,20.8 ,25.6 ,34.8 ,60.8 ,102.5 ,196.1 ,381.7 ,724.0 ,1189.7 ,1811.6 ,2538.5 ,3245.9 ,3778.6 ,4140.5 
全部位,C00-C96,男,2011,798.1 ,20.1 ,11.3 ,7.8 ,14.1 ,19.8 ,25.5 ,37.7 ,62.7 ,106.3 ,197.4 ,399.2 ,746.2 ,1266.8 ,1938.8 ,2628.3 ,3312.1 ,3846.6 ,4051.8 
全部位,C00-C96,女,1975,168.7 ,11.8 ,7.7 ,7.7 ,7.3 ,14.7 ,29.1 ,50.2 ,87.1 ,153.2 ,219.1 ,284.7 ,366.7 ,502.2 ,661.6 ,833.7 ,1039.8 ,992.5 ,841.7 
全部位,C00-C96,女,1976,167.9 ,11.8 ,6.4 ,8.2 ,6.8 ,12.9 ,30.5 ,45.9 ,83.9 ,149.8 ,208.6 ,285.5 ,356.3 ,478.3 ,642.3 ,810.7 ,1026.3 ,1035.1 ,895.8 
全部位,C00-C96,女,1977,169.8 ,12.7 ,6.0 ,8.7 ,8.6 ,11.9 ,30.4 ,46.3 ,87.0 ,145.3 ,205.6 ,278.3 ,349.5 ,470.1 ,649.5 ,793.1 ,1015.9 ,1035.6 ,863.6 
全部位,C00-C96,女,1978,175.9 ,12.1 ,6.5 ,6.6 ,8.8 ,13.5 ,26.2 ,46.2 ,91.4 ,143.6 ,200.6 ,277.9 ,359.7 ,481.0 ,677.7 ,791.9 ,1038.0 ,1065.6 ,955.6 
全部位,C00-C96,女,1979,185.1 ,12.6 ,6.5 ,5.6 ,8.7 ,14.3 ,25.5 ,48.2 ,105.1 ,147.4 ,208.9 ,282.7 ,376.9 ,506.8 ,674.9 ,822.7 ,1061.8 ,1070.1 ,963.5 
全部位,C00-C96,女,1980,191.3 ,12.8 ,6.9 ,5.5 ,7.2 ,15.0 ,23.7 ,53.8 ,101.4 ,152.8 ,219.2 ,287.6 ,376.8 ,513.5 ,659.0 ,868.3 ,1035.0 ,1094.1 ,1008.9 
全部位,C00-C96,女,1981,196.8 ,13.5 ,6.6 ,6.4 ,8.1 ,15.2 ,23.7 ,59.2 ,103.8 ,158.6 ,222.2 ,282.8 ,375.5 ,504.1 ,659.0 ,887.2 ,1009.2 ,1132.9 ,1048.4 
全部位,C00-C96,女,1982,202.4 ,13.8 ,7.8 ,6.7 ,8.6 ,15.3 ,24.5 ,63.5 ,95.6 ,158.9 ,214.9 ,288.7 ,372.8 ,493.4 ,670.3 ,891.3 ,1009.5 ,1183.4 ,1131.0 
全部位,C00-C96,女,1983,212.1 ,12.9 ,7.9 ,6.9 ,8.1 ,15.2 ,25.5 ,62.8 ,94.2 ,164.4 ,218.1 ,303.1 ,385.1 ,507.8 ,674.7 ,896.1 ,1035.7 ,1276.9 ,1179.2 
全部位,C00-C96,女,1984,220.0 ,13.1 ,8.3 ,7.4 ,9.8 ,14.2 ,27.6 ,60.7 ,95.6 ,169.6 ,220.2 ,300.6 ,391.1 ,516.6 ,670.0 ,889.6 ,1095.5 ,1311.1 ,1255.5 
全部位,C00-C96,女,1985,236.7 ,14.1 ,6.8 ,7.7 ,8.5 ,14.3 ,26.0 ,64.1 ,111.8 ,178.7 ,238.2 ,310.8 ,404.7 ,534.8 ,692.3 ,941.2 ,1147.4 ,1368.4 ,1373.8 
全部位,C00-C96,女,1986,240.5 ,14.9 ,7.5 ,7.7 ,8.6 ,13.6 ,26.7 ,60.9 ,116.7 ,173.9 ,234.2 ,301.6 ,396.5 ,537.3 ,688.7 ,940.8 ,1152.3 ,1339.5 ,1395.5 
全部位,C00-C96,女,1987,247.6 ,14.3 ,6.4 ,6.7 ,8.4 ,13.5 ,26.1 ,58.1 ,115.0 ,173.2 ,239.1 ,306.9 ,394.7 ,534.4 ,692.3 ,955.0 ,1155.9 ,1354.6 ,1444.0 
全部位,C00-C96,女,1988,254.2 ,15.1 ,7.1 ,6.1 ,8.8 ,12.7 ,26.5 ,55.8 ,113.9 ,173.8 ,242.6 ,304.8 ,391.7 ,540.8 ,695.9 ,942.0 ,1158.8 ,1373.1 ,1494.0 
全部位,C00-C96,女,1989,257.2 ,14.3 ,6.0 ,6.0 ,9.7 ,13.2 ,26.5 ,55.5 ,107.6 ,177.9 ,245.6 ,297.8 ,387.9 ,523.8 ,693.1 ,913.7 ,1137.0 ,1362.9 ,1535.6 
全部位,C00-C96,女,1990,274.1 ,13.9 ,7.6 ,8.8 ,9.4 ,15.1 ,32.6 ,61.9 ,122.6 ,200.3 ,262.7 ,315.8 ,411.6 ,553.7 ,724.7 ,921.6 ,1135.7 ,1379.1 ,1496.9 
全部位,C00-C96,女,1991,284.0 ,14.2 ,7.2 ,8.4 ,9.4 ,15.3 ,32.6 ,62.1 ,118.2 ,211.1 ,256.5 ,323.3 ,415.7 ,559.4 ,733.1 ,938.7 ,1148.9 ,1412.9 ,1496.7 
全部位,C00-C96,女,1992,296.9 ,14.4 ,7.6 ,7.8 ,9.8 ,16.0 ,31.9 ,60.8 ,121.4 ,222.3 ,261.6 ,341.2 ,423.6 ,567.4 ,739.8 ,950.8 ,1183.0 ,1443.9 ,1516.1 
全部位,C00-C96,女,1993,298.5 ,14.1 ,7.5 ,8.3 ,9.5 ,14.5 ,31.2 ,60.4 ,113.3 ,209.3 ,259.2 ,340.4 ,423.4 ,554.5 ,732.5 ,926.3 ,1176.5 ,1425.9 ,1509.3 
全部位,C00-C96,女,1994,301.4 ,13.2 ,5.9 ,8.3 ,9.3 ,15.4 ,31.5 ,60.6 ,109.7 ,203.8 ,266.8 ,336.3 ,423.1 ,535.7 ,719.1 ,918.6 ,1157.6 ,1397.1 ,1520.8 
全部位,C00-C96,女,1995,309.3 ,15.1 ,7.4 ,8.1 ,8.7 ,14.4 ,27.6 ,60.7 ,108.4 ,183.0 ,282.4 ,320.9 ,403.5 ,531.3 ,710.2 ,948.4 ,1141.1 ,1434.8 ,1731.5 
全部位,C00-C96,女,1996,313.2 ,14.2 ,6.3 ,7.7 ,7.8 ,14.7 ,27.9 ,58.6 ,106.2 ,175.9 ,290.8 ,315.1 ,399.2 ,524.2 ,701.8 ,939.4 ,1122.0 ,1408.8 ,1727.2 
全部位,C00-C96,女,1997,320.8 ,13.8 ,6.4 ,7.1 ,7.3 ,14.4 ,27.4 ,57.4 ,107.6 ,173.6 ,293.2 ,311.5 ,412.1 ,526.4 ,702.8 ,931.3 ,1116.6 ,1395.8 ,1761.7 
全部位,C00-C96,女,1998,329.0 ,11.3 ,5.6 ,7.3 ,7.7 ,13.5 ,27.5 ,56.3 ,106.7 ,172.9 ,286.0 ,322.1 ,420.6 ,538.5 ,702.3 ,920.6 ,1127.7 ,1399.6 ,1763.1 
全部位,C00-C96,女,1999,338.5 ,11.4 ,5.3 ,6.4 ,8.3 ,14.9 ,26.3 ,55.5 ,111.0 ,175.6 ,277.4 ,329.2 ,428.0 ,548.6 ,705.8 ,919.8 ,1146.9 ,1399.2 ,1791.8 
全部位,C00-C96,女,2000,342.7 ,11.8 ,5.1 ,6.6 ,8.6 ,15.3 ,26.3 ,58.6 ,109.6 ,180.3 ,274.1 ,341.2 ,410.4 ,538.7 ,703.1 ,906.0 ,1129.2 ,1391.4 ,1755.3 
全部位,C00-C96,女,2001,362.0 ,13.5 ,5.3 ,6.4 ,8.6 ,16.8 ,28.8 ,62.6 ,112.7 ,188.4 ,284.3 ,389.1 ,426.3 ,569.4 ,743.7 ,956.8 ,1195.5 ,1303.7 ,1658.7 
全部位,C00-C96,女,2002,364.5 ,11.1 ,4.9 ,6.8 ,9.1 ,16.2 ,28.8 ,66.4 ,114.6 ,194.3 ,292.0 ,366.4 ,446.0 ,540.9 ,698.2 ,905.6 ,1112.3 ,1376.5 ,1771.5 
全部位,C00-C96,女,2003,391.9 ,14.1 ,7.5 ,6.8 ,9.2 ,16.0 ,29.1 ,71.5 ,121.8 ,199.3 ,307.5 ,376.1 ,471.9 ,568.1 ,721.8 ,959.2 ,1185.2 ,1457.5 ,1887.9 
